address,balance,NumberOfTransaction,lastTransaction,firstTransaction,NFTCount,NativeBalance
0x63420d44ef45208fe838ec4cb5be2095ab98f302,77108.28,2536,2021,2019,239,40.29
0xeadc476cd136d3741cb7cc5a2e4c353caa931004,88292.52,128,2022,2019,370,9.05
0xbd2278bb089c67824c6b8afe00f73a3906d6f395,84463.89,1943,2024,2021,482,25.46
0x30d762ebf52990cd7d92121dbb3ea0dac4d2af26,83384.81,4816,2020,2023,71,45.97
0x8269621a9a78e4e0e909b78f7d23360fe8ff2294,56794.13,486,2024,2017,217,49.18
0xd6747f9645e5e4a9a476fc8f0a0e96b344c3e847,60894.72,1051,2020,2018,465,28.11
0x82780f84262a9b08b0827fe68f70f04281b16805,89962.03,1449,2020,2017,208,18.42
0x8e197d605d559c08d3a56a7490f7cacdfc13b90f,44232.2,1598,2022,2024,283,12.91
0x8350787906ea317ea8bfee563bf49decde6ad34f,33573.58,1826,2019,2023,206,34.62
0xec62fdaa62f0197523ea160b7c524d5e930ec0cb,93825.3,4366,2021,2024,295,4.43
0x24f792884dc2eb70738d5f69374b4e689c538dba,42781.64,2711,2021,2023,132,9.74
0x072097a6b3be7aa8379e5ca1cc0909696ea3d683,97979.65,2381,2021,2017,44,26.59
0xde2c5cd1d8f7550de7ed02295f5265b4eba861c3,47013.31,3758,2020,2017,421,31.59
0xf22820bf10014de9354c1a2403fae95eb07797b2,56776.28,4582,2022,2018,398,20.1
0x0dd0337d07f86728e04d99dee55f43d8f9f44581,34699.02,4885,2024,2021,281,25.83
0x7c0001f98b97d8cbf12209459b96ccbc120b42ac,17391.17,3747,2019,2021,409,3.2
0x78ce594618f23c03a115d620fff8d85dbd237e89,10944.51,1780,2023,2018,251,6.65
0xb92099bcf6acb379e419f830e34159df02a0b694,34507.06,4348,2023,2017,358,27.72
0xf0f54dcd5abe6d012d0705ec35c2277a48a1a52f,59738.02,657,2019,2022,401,9.91
0x81e72029ba0c0bb1dd5bca3a1eff7f6944ecb5fc,43491.83,1201,2024,2023,206,9.58
0xc9202bde88dfb0a38aa55dbb145b20ce0101ec42,58124.13,3762,2021,2019,361,23.18
0x50e3e3eb039ac5319270d5ed742e241c60e133b9,93340.69,2638,2021,2023,205,28.6
0x4af25ec196ab315295c041058814b908a1c9664b,2155.85,2715,2024,2017,256,7.24
0x17181bac4339b94839a6c7e86acbdfdfb03f705d,30137.48,3145,2020,2021,159,27.21
0x17618b38b7db202171db54526ddbf41fee28e42e,64727.5,643,2023,2019,256,33.76
0x0efc8cd6813963cdce7f1b6bdc6a0b8f2e65a57f,72462.51,585,2021,2023,108,31.3
0xfa91b8a115544cd8d32fcc8d857a1be0af8bbb99,66407.94,1430,2023,2023,17,9.68
0x2101f7986687035c457d6c329004f15d3d8cddfe,75457.67,2273,2019,2017,384,16.02
0x0b88cb120780e794a74df038fd7112f5396c922f,65575.46,2147,2019,2018,263,19.84
0x41325ba44444d1a845d0a08831ab20a49cd43cad,87386.35,2481,2023,2023,356,10.26
0x7446b3d43685ddc132346d1bee08ec947c8abc5d,59877.0,3504,2020,2019,222,5.29
0xda9572cd9c69848dedb25c2d7b6f9e2b739e4050,96054.55,2697,2019,2023,246,3.85
0xeb894b8a31dd9de9a11c37db96b8e33db488e3da,14227.43,1000,2024,2020,426,35.99
0x6d8b9fd0e1d5c7573f5c955d5c954c1d794c433b,2186.1,2281,2020,2020,336,31.49
0xdf97fbfea11149e95687b4e8999272521c24ac0a,68847.45,4751,2024,2023,37,41.33
0xac3eb55596611d4e4cdc0c4a097c0a4162315394,99153.11,3519,2020,2017,122,39.93
0x8cc4489cdc1ee5c42893dd225a1fce0e7f17446c,80832.58,187,2023,2017,393,7.26
0x87710024981687e62ddba905b2555d336539c1da,45961.7,367,2023,2018,305,9.6
0x9083ff70a5ee65811aa069233c813f649c0001f7,98231.6,1198,2024,2020,276,23.57
0x6f4dcf6412afc498d3fc6d58e1b82f1bc127295a,82155.71,2547,2021,2017,298,41.24
0xd935c34b0b50b8aaf2aff78b6e09f5b26b1f4b01,54132.47,57,2020,2022,339,15.35
0x5e7cc6d06aa187af6be70dcdc86bdc8718eab235,52510.88,3522,2024,2017,31,37.15
0x7d63c307f231306e4d9dd94230756a9337dcdc47,36070.78,3915,2023,2017,193,21.53
0xe092a017e7ee244565195a13b23f5e0d7aea10a5,71774.39,1241,2024,2023,408,44.26
0xe571f9b74ef72a3ae827aa59c7fa71b3b1a033da,82100.97,3405,2021,2023,457,45.77
0x3af3824d0ab2ff999aa26177100a23b6ed43629b,70263.69,1362,2022,2019,62,36.39
0xba1245d078f9320657884dcfa4c72e74ac0033bf,98939.2,2363,2023,2021,231,0.12
0x1607cba0543d8c1ff3b1a586fd33cf0083fd599c,5614.51,2139,2023,2019,94,42.15
0x41456bc6ca00baba0f8660482edd142657558223,37706.55,1025,2019,2020,193,37.97
0xb3a7b0fa3d3de5c9180504d105e76bacbb5b6ac6,30438.9,1424,2020,2023,42,33.11
0x01c02fa0062b4248addd08ee8f8555a6e83f7ec0,67241.6,2572,2020,2020,371,19.3
0x9a698f5dac2af2db84d79e9240cbee7480709a86,74834.32,4554,2024,2023,3,18.96
0x4acdedc11a0ce690c1af11ac7c15a783e7951d56,15286.78,271,2021,2024,173,8.23
0x805a28410938216c92c810f6a8dcccfc49ee69ec,77330.56,1070,2023,2022,435,35.46
0x9d6856fd4bb5a3289dcd0c144858bb54847395c0,87745.37,116,2019,2019,352,45.0
0xf15569ce977631c91095555d9a4f3d05893c7493,63448.41,1437,2024,2018,216,37.99
0xa34fa9f21901debf7840dde86b9ee835bf6583a4,84958.78,3395,2024,2020,65,24.78
0x3d91443e5b060c391a16a1c7bf59a2c6f42364a3,49725.4,200,2022,2020,366,49.79
0xc5151cd28b03fab18beeb691b1d455aa650c5543,16998.95,1570,2019,2018,297,1.16
0x18aa96d56051839774322e4fbeb859e11956d272,14664.07,2581,2022,2023,409,18.97
0x69c5be6bec8d82a4a34c7c4b855d3a5758b9923d,46048.89,4343,2019,2021,330,30.23
0x2e9c832d86d7034c519331cc42e675bc90f04ee6,88150.98,2721,2024,2019,450,47.46
0x8a8468a1be8fa5395e8bc812febbb9687aee384d,1012.75,919,2020,2024,154,6.01
0x766687f3635897a0667812b17b71c3d06d33a2e7,50480.45,207,2022,2019,294,41.91
0x8eb4cb86de780b295d9cca39985d67b1a71c1a43,24154.81,3193,2024,2019,253,37.39
0x0226d951abeec1396aad55b10db25da921b0056f,71841.06,4095,2023,2019,87,25.48
0x5073af27a94d2f7252bf9512ac32e2b03b6ae2ef,66824.51,2656,2020,2023,448,38.18
0x94ec668bc84a7915b928ad1a207f0ac62540b5d9,83478.25,3369,2024,2021,17,44.95
0xe34fb2800581ec93949ce39474615fb175e98d45,12712.01,486,2021,2023,365,4.01
0x8a80924827f207e4f787238b542aabe4d34395e1,44161.82,2360,2019,2019,439,43.27
0x5b38b5adff0acfac58c74837d4a5bae2ef12b863,1274.76,3760,2021,2019,150,44.5
0x3a4343e65f3b402d4e54d14af0ea484dc0e69279,6223.62,2644,2020,2023,126,40.65
0x83be45dd0acc2502a68d634b2e61989d8b283068,75593.34,679,2022,2023,110,8.79
0x109df3a42e5273aba049ada34d33ae848c318d07,50484.38,178,2024,2022,401,23.47
0x6e0b3cff6b6d2f4f92b014329b45a4ffbd1f3003,51051.14,1693,2023,2020,73,25.91
0x0e71f4f97d6642d4955713ae93ef461a98aa4de7,35434.2,4120,2021,2020,373,28.6
0x6f27de838485b2351ddc57c288600ba76f4fdd53,76262.5,3015,2019,2024,205,35.84
0xa29b224de3fef31f3d23ad4ed3be2d021fb06dd7,96680.93,994,2019,2024,465,48.27
0xa906771526285b1e8ad71a4cec54e99cfd72c483,59185.46,901,2024,2018,274,18.72
0x9bb3957be41d4a7a5166029e9f34a322b761d563,53145.2,3390,2019,2024,24,16.26
0x47cc95621c4d23f25089dc6f2c27b697710f899c,84752.0,6,2019,2019,295,21.41
0x5658410cf9f28e88219bdc63ac6f83523a605c26,60953.59,751,2019,2017,435,16.16
0x67b4e88c8b3562a9bce44b8b0ed0ce896680ff4b,93797.57,1518,2021,2022,0,42.95
0x71d8c244973b9a695d74dec0ce95ae0169b6ae46,52221.94,3778,2021,2022,323,31.52
0xefefe16d5ea3216645698d568f0d53eb7e80632c,29160.77,1447,2022,2017,30,22.83
0xfa8d27b76c11940e0bc6bdfa7a704008c9866fe4,31159.05,4710,2023,2024,68,4.0
0xdb3d8c7b1fbd8ecebe5102bde7fe676994f5b0df,85145.65,129,2022,2019,406,1.58
0xd251e75f0cc403f07c756f5f2ab0b2fab73872a0,20591.67,384,2020,2021,268,14.87
0x26f8905f228e0a0a61d07f0b4ce8ab496a8435b0,84834.93,607,2024,2019,247,46.55
0xfc9a04181fb4205b697ea1d9291f87c1e798d849,45144.47,222,2020,2022,47,47.58
0x6691402add04de8263bb7df603f91e3159128a3a,53837.53,3871,2022,2017,274,12.84
0xdc2c597952eeab61226f5fe91b4b7bbc0b7411e3,77205.51,1546,2023,2018,10,4.79
0x54c5adbe725f49d48bea8292b15b04d6a01ef8b4,18463.65,4862,2024,2024,70,15.58
0xd2b131b5afdbf2cde606abf50cdb2101820311ea,13925.36,2005,2024,2020,209,34.08
0x2f4cb4629092d0d8b1266f3fd3e75e08e23811f7,25281.1,2438,2024,2024,251,25.92
0x850f2fd0e091900f0682812fc117a780f366945e,52423.5,4982,2021,2024,128,46.45
0xa07667776c952449861c1f43b9bf6d9ab8b0627c,92908.88,3795,2021,2018,288,47.21
0xae7abdd08a936b8f15ceecd8d689764b99e39d10,39672.55,642,2022,2019,347,37.73
0x5afff327a2619dca06c2cde26ff9dac271c1f2bb,58927.08,120,2024,2017,239,6.24
0xee364b455eef6cb998321a1192c32fa763856671,58401.75,4532,2020,2024,258,5.13
0x298b60b6c27a92e11b798b2bdd3f5c0b4599d1b2,1831.67,3571,2020,2020,172,4.85
0x1258d1ff1b93664f228e16091f223a5015a9161b,25787.68,25,2020,2023,378,4.01
0x5cb46ef85be7e27750a9c8fb4a114c03901eedc5,22129.84,2862,2022,2023,169,27.77
0x9a19bf41b7210261b57274986718f3a75dce7508,4331.34,3297,2019,2018,395,40.86
0x563e925633460981d0b922b2784123bf7157f583,98962.52,853,2024,2023,128,17.47
0xc7cb18a8f4a4a9c197551e2ca47573b342eb2196,84779.79,52,2020,2019,428,48.02
0x26493041cb182e5e4f09cc1dcb3482698b8c45bb,60956.3,4819,2024,2022,25,14.8
0x76bf1f3c3f60724b8678e1129eb96c17c2913e5f,89692.39,4222,2022,2024,406,41.87
0x7a13cbd867ed56f7b23a56cc3b7d85f11a3301c3,87825.4,1616,2022,2017,405,10.66
0xb8c1c0b3c888f4b2ab5063bb715e1e614f7a2c53,36794.32,4531,2019,2022,449,8.5
0xc26e210acaf690a906185b0e78dd603d8d409d0d,37245.0,2706,2024,2023,381,20.95
0x870af8090cab652807b2fcc05ac24dc861800686,54261.69,4125,2021,2021,294,40.58
0xfd7ad357388766dba1d311f3e257a9548e22b458,88264.9,184,2023,2019,470,6.97
0xb8ca1203ade93c62a95e0a3b8987b6f8e74bd525,82047.02,2248,2020,2021,465,40.35
0x8221f5be1ee684882504684dd8c3719eaab315a3,87458.76,1137,2021,2020,119,24.25
0x2e6c88f334de78844c74aa3b90c3a3157675058d,33552.66,1527,2023,2024,214,26.38
0x311aad85840036ea4c76bc3548269c1ecfd219f2,44126.45,818,2023,2024,233,39.95
0x44443d0b496cc41c4d25f3dfe3abeb4b327eaf5e,45729.57,1475,2021,2023,150,30.82
0xa823c5ea6e82c563ad9d3b10430b70f7f793a9b4,11282.28,711,2022,2018,321,49.51
0x0f794bc4f424567e907782961201ba2fe0be23c8,19439.72,4904,2023,2022,132,42.24
0x70baf43927284f6e1a161bd446612b64839f8865,12332.91,1854,2019,2020,473,46.2
0xcf68d8c45aca768a6fe7ce982d3a506499205868,38314.15,885,2023,2024,300,14.88
0xbf934e1446a1551aa952b339d66396541baf3f11,19364.98,2588,2023,2021,422,29.65
0x95a95c2065446c0d0999daae6b1dc7ad6a57a093,48507.79,2087,2022,2022,240,10.46
0xbe5b9361b5ba2b0234dc7f9a083d99e944ac3aa3,33198.84,3610,2019,2019,178,25.34
0x2ecec49cb99a5698734e851a8b0be3b9b34fd0a1,54420.44,1422,2020,2023,143,5.22
0x76c30030ff41eb2e5bbdad63330f38b2e87bda21,15189.21,812,2020,2018,176,49.22
0xd2fb66aecb09e3a1777269296f814f039f91fae8,40941.08,1295,2024,2021,4,46.01
0xc6b378994a866f1527a787ed47448a328d23035b,88173.48,3618,2020,2019,69,19.4
0xe1bb21b0b34f4050f6f301ef7a9f7d64ad6d85dd,66348.52,3053,2019,2020,239,46.32
0x7dade41a178c41ce7029a32f34574c9a9c6b158b,159.41,4056,2019,2021,228,11.35
0x519a3c4f3e67d4f5756c78041089a5ce61e25dea,58185.08,2251,2021,2020,148,7.28
0x4dd390595801c51e8970be229d3f1e2478d8d890,716.64,338,2019,2023,397,48.96
0xc37e5e97be1d26eb262e5bc24c1637bdba34c1d6,53883.54,4316,2020,2020,102,37.08
0xd6341abf41231f3e63df3ab6c64c7630b176c661,92570.17,3870,2024,2021,320,0.52
0xb3c17311835d09bde99f6b1e5fc4cbbd8bc4fb02,32912.2,4534,2022,2023,331,30.07
0x7345205398b5d4373570c23a84f6b89f58d778e2,39506.29,1523,2022,2022,444,17.67
0x4b17b486bcaf882cf81514ff5d85a2e056cf31ee,25038.61,4087,2021,2019,427,3.54
0x58eb50212bdfb7384e90518e1e5e3d7ce701ed91,73994.82,4932,2020,2019,117,26.28
0x180b316192a25c3c65735206d0b36abd852b2ae7,16129.21,4313,2020,2020,334,46.42
0xe2cc2e8803b7b71d552b057677fb7e7ca3490e8e,44473.79,3652,2024,2019,197,37.13
0xf4f2eeebbafca508c6ccbbac5e566ece8fd4dcff,66490.15,38,2023,2024,59,44.74
0x21c5e27869eada6c479d9e221329e5925826db72,49767.6,583,2022,2022,55,0.87
0xb3fb188f140567178455b467ac84f1882266439d,98683.23,4144,2020,2018,379,27.53
0x2f57e38747d65691f8f9c7ed1f393a458749d0cf,30657.35,2674,2023,2022,195,24.47
0x5072532d9063fba818b0d00312a325b2abb69318,78272.83,2880,2021,2020,184,31.76
0xa796688bd1f69cf7bc1a07e515c3834fb1c51c09,76712.62,259,2020,2017,72,14.56
0xe8da3e90bdff00296228ec2085eb021b987261a7,4479.25,4761,2022,2020,360,19.76
0x716bae2905254f2159b170cefc3904044b1b6b46,10808.58,4456,2024,2019,3,0.71
0xc59407c83abc2c5af18d05a64f3d82120d7f10e3,8398.51,646,2024,2024,367,22.33
0x759c76df8647eda10ba1aac75c40d35c32de2e60,97311.07,1466,2019,2020,210,6.86
0xc64a9ef00845f6b75b682251e8cd6a34d630b484,79373.73,2958,2021,2022,477,41.49
0x535872d66efc6dbe64369bde939fefeea6766ab7,86647.89,4360,2020,2020,391,5.0
0xb58e2ef45f806efd8f828ddcd34400d6245e06ff,4961.99,4529,2023,2019,330,41.26
0x111262af8c480f8785d6b60db58c9261df9e91d6,11970.2,3316,2024,2017,25,2.32
0x5882ad573c150b594d2b9dde029f7c85fc26abce,63985.49,4733,2021,2019,453,42.43
0xe6c4569d1af56f704e40a7dc2487f14458990c2c,79388.87,4067,2019,2020,462,10.97
0x22d7e6c9c516eec19c47cba85ac03a13516c35e1,26483.82,1735,2021,2023,319,13.89
0xe32a1095a8aac5cde867af9c260e6ee4821904a4,62164.32,2918,2023,2019,89,24.36
0x8445ce6df87ec7603b55451e38c20370c64f141a,12681.98,3504,2021,2018,285,9.32
0x01953ad9efc19655f81931de9e595c9859db1ef1,30487.43,1721,2019,2019,193,29.12
0xf96964bc51409e31e9e91fab3776dcab55fd2c15,89280.5,2738,2024,2019,290,3.8
0x579ea78f6f01f1e4bbf4560c19f3bab0dee01357,74065.97,3187,2022,2023,148,4.1
0x3fdf8020c8f344ca35a138bce99edd864217c931,36167.11,4852,2019,2020,234,11.67
0x1ed15db925c1804aa39b059b3953626cbfb0157e,50129.45,4027,2019,2023,385,2.53
0xafb7a4063d140f465182ed264c9968f31b71ad7d,96334.83,4869,2024,2020,500,11.22
0xa2475c8dea883e72028fdccfd515d62e55d5cdee,8101.34,1134,2021,2024,485,27.66
0x9435ae62f6411d239b23a9c2d65b967920c34a6d,97127.33,4511,2023,2018,47,5.64
0x0d8dd6e95ed2d015fd2e5bb7842788cb5ede030f,28091.91,925,2019,2020,93,40.54
0xf33f66a3136ac42ff267efa93be2aaff8b303abd,82467.55,2567,2022,2024,213,44.64
0xb971b379b552c53e08eec0e2776b017e9063ace2,29356.18,3454,2021,2019,173,7.94
0x82de63341b7f27a199c59725d1c1a368abbd1517,61861.83,3377,2023,2018,48,35.04
0x13e025230eeed8a96fe43e3f59b9353e3c0acbcd,25437.79,1202,2020,2019,294,10.82
0xd12bf3910fe834a9c41b60a7c1a843341c6fe13f,69385.47,702,2020,2021,483,47.31
0x3a775a253ca81f0c944d1209eb90858abec116fc,20616.11,1172,2024,2022,395,35.98
0x1d93225119dfd6d94bd504c9ca0d65d410411d07,8643.73,846,2021,2021,404,33.63
0xad4d80be14bb0e39be8298fbedbabb90f479ecc9,96353.26,3254,2024,2019,34,10.13
0x0085544a6470d7aaa2068f16b4effc7aa34932e2,64299.66,3107,2023,2017,189,44.29
0x3d40a1bcbc9ee33e99b23f974dee3fb79e685faa,24300.47,4349,2023,2018,396,31.38
0x083dbaa46f66f660fd3bde65838057419a4a51e3,5256.13,4294,2019,2018,72,5.04
0x3deb6bfff152331aff333b635466f10ffc540166,99408.25,3689,2019,2022,138,7.35
0x37e54a82808527b918392e6e3f4d3cb54606dfd0,95044.46,2150,2022,2024,222,39.59
0x5fbf35d9b2d1e1c0e14a05c616b514d9a517dd6a,39563.07,3306,2019,2022,430,4.34
0x6d77a851bb6226dc20cf51caac160b6362038212,85916.54,4597,2019,2023,372,40.35
0x7d21100be25bd20a72a6fb3da8e2519121de7a8d,61921.08,207,2024,2022,465,14.63
0x9c3ac784f7c9460465231b5973910b4c6faf94c1,61384.14,324,2021,2018,309,37.92
0xf96a4fe79072cccfd49db77bce4409c117a89d61,69887.6,66,2024,2021,417,41.27
0x72828a282bee72ced4b9bc3da3779f0e6d204dc8,10894.49,147,2024,2017,174,48.21
0xb1d94bb1ba4377059cb0670297f228e8b6b7a834,70851.25,3361,2021,2023,472,24.44
0x5df3a25c509066709f11262de49f60135bfb0373,63150.21,2030,2021,2017,144,40.71
0xb51095dc8d56f0392de897659c537ed32e2b072f,11775.94,2473,2021,2020,459,19.37
0xf7bbf6b987df0f0dd76894581bdb5ed84ee3ec20,86504.88,4609,2022,2021,133,45.52
0xa312e1f4132c60600c33f4a6801409f0b5353fc4,39893.71,4267,2019,2021,74,8.81
0x6e343bf0adc586b2c4afa88409ede850e998a9a0,84801.78,3442,2019,2021,244,43.0
0xd10fd229f92eb87345b50d916eb5376d4168fba8,41016.22,2483,2023,2021,90,23.86
0x00146cdb2706f2886db50f0f394ae5d1a09b7448,33101.31,1560,2023,2019,471,14.86
0xcc80bad17ed38b2c8f5956ea7b8255a255d9afb8,92428.25,489,2020,2017,384,3.63
0x1606f3056c387fcd70c3a294353c4a0dd3c4161a,36838.71,1568,2024,2024,450,29.6
0xa504a2d49a3f881bdd4e8217fc04038b01a42025,47596.81,4759,2022,2023,151,20.51
0x68924ee306541b3d0219518311080f08e07aa414,89811.21,1600,2019,2024,232,31.26
0xd976f1b8a38a6c45c68f20f44aaa440e4593a585,60883.32,1848,2024,2018,385,2.38
0xd378f96e3234be5a2263e6cf2fb39cdfa70c4caa,75668.98,458,2024,2021,312,30.27
0xa2687f80bde3d4dd1193e5188bfb1535e24fb885,78777.72,1415,2024,2024,35,44.95
0xde5d8b7076146f2a94c1d2da37c3e533931e1b8d,31421.28,2504,2023,2017,356,44.49
0x37533a5ffcc4447314791db290c263a0234ab81e,63972.6,3319,2021,2024,207,1.08
0x4265cef5839517cff8561597fcc8a6500f575c30,24641.9,4240,2020,2023,392,19.6
0xca72106aaeddbcd4be718f1750bf037a1980ef36,15726.51,4071,2023,2020,369,3.37
0x4da75d768484d7468b2425d8f78a0e9009627538,38223.98,431,2023,2024,474,15.46
0xf7a52abfc56f289b48540e58c8795f1711967d82,42780.17,3295,2019,2017,370,22.62
0xf940df8b270fc5774b6d3d94121c8031c34e8db2,38357.97,659,2019,2023,296,37.87
0x98780e46ff132f4da5c43d3a2fe3b93a9609dc40,20154.57,3786,2019,2021,360,37.71
0xd1ac65a381b0e9d94dd3baa747252a81b020db0d,46195.1,4105,2022,2024,170,23.02
0xbacf4c3f562b6254dd9be413040c08096d6d7198,78440.65,960,2019,2024,269,12.17
0x2ddda3c8eebd19221c6e3b898109344a03f20451,44012.87,2981,2021,2023,434,49.65
0x76e2d54dd984c17226547cd617dfc0a4f3b8a249,83445.46,4767,2023,2018,297,14.71
0xdc68d382408c083e74591a6f47703c61fb619d46,94664.02,2982,2022,2023,122,44.71
0xba6a7e5377892bf7b45680b3d584197ac18fa2fe,77820.84,3409,2020,2021,30,9.33
0xeb5736df713bfd7f54b7ebeb00700abd81884cad,40422.78,4236,2021,2023,281,44.14
0xbb8ad933fa161c5180ba7f066390dbb4a3c8718b,81258.94,1246,2024,2024,280,2.79
0xfa2338119872b5a6a1e58d54c1f4326aa307cd71,55894.83,149,2022,2022,421,21.49
0x311653c5b60a32a76a0cf5f84db36ac2c57a2586,54404.37,4135,2024,2022,208,33.9
0x226362ae85e33daaaf44abca47905730f35d65e8,38824.85,836,2020,2019,113,26.84
0x2f9735b29944b6286accfbc7b5364ca7dea38dc1,52909.53,2859,2023,2017,372,10.09
0x68fa212151ed1f3139851272b43a271c91c3144b,66147.75,4456,2021,2019,188,4.67
0xead24ae3e9d83745f4a592ea237dfd1c8739e490,37065.69,4403,2024,2024,353,48.25
0x465d42cbaaf04c1661d1a059789d40496fa45d36,12593.04,2783,2024,2021,167,47.55
0xd332154d837818729f76102c2cd850ea06c56e1b,97837.46,2248,2024,2018,213,11.96
0x1f14ef46c02c9b7dad83f8451bb36eb0bde18a45,15125.81,1216,2023,2020,347,48.12
0xf8f254b937622ed677835f7711b021f2e0826eb9,16536.25,2656,2023,2018,77,36.87
0x3e4037f8b185d01b8b8e42c75236ef08d8d0479f,62503.74,4485,2021,2021,119,14.02
0xbe0bad89cac0f7da67beaa35d4fcd014f568e5e1,13551.63,1739,2020,2023,97,45.93
0x2888c1381167a252a263092c5cd9553e338600e0,86301.93,4895,2021,2018,16,49.37
0xf1c50b1d881a7b36d1905f150e12d90acfe9d21e,11592.32,964,2024,2019,272,27.69
0x3e4f048e3f628087e41808bfa02ea76ca0873d27,93855.24,3071,2021,2024,58,40.82
0x820bb163afa4337c927f298438dc83c6c25a3f32,72100.82,999,2021,2024,499,43.02
0x8c2549f88ec26e1153c1417848750143e9c86275,62496.08,4513,2019,2017,204,43.73
0xa9fddb725264aa5a84f731f109dd93c1f04c46cf,92362.55,2936,2022,2020,51,16.39
0x22f5d75b379f44b08e9b3bd03da5966b7ddc625d,47904.75,1502,2022,2023,482,0.13
0x588db1d33e018b548cb380709c012060b267e0ac,53543.65,4947,2022,2021,352,37.09
0x8e9d3f024df2021c5f44c0757042ce0df8943dee,62290.47,305,2021,2024,160,39.55
0xad596ca80ee9f2fe14ecff1901b6c983984fbbe4,41557.85,1930,2019,2024,249,24.91
0x63e992f2010b93a6c596762bcb6e938f8896bfc3,7718.84,2625,2021,2017,336,26.75
0x9ce080dfd8de2799c5c408835bb4d7206dc19f1c,65020.51,812,2019,2018,438,32.86
0x3a8ed02787a8602c052a674f73ce3fa92b62820d,78972.22,2234,2023,2022,272,16.7
0xed77c7a0cdc5ad7db966c1c7c1c9d442f32cff1a,88630.53,683,2022,2024,95,41.57
0x25aed2528973ab512482a1f031c3677195823c12,53502.28,4841,2022,2022,243,23.43
0xfb9f67aa47f1f06536e1e14a835cc616a77a5e01,31936.63,4351,2020,2021,219,12.88
0xe7b2c58a6084781c17336d82f0f0f05c31c1e675,9987.1,2628,2023,2021,94,5.48
0xe1ecfcb29481bd67b3f9a7ec1572c4243a9b998b,79243.12,1156,2020,2018,485,39.79
0x14e36d32b760c591fba56ebb4c6bf76b02acce63,80166.58,657,2022,2019,305,42.16
0x8c879b8dd8e71e33755eda8bd604b42e6b76257c,7813.63,1383,2024,2021,155,41.57
0x30eee5b5262f7655574bb91f0a03c98380a7f982,77766.81,1853,2019,2023,392,26.76
